"","long","lat","yield","variety","seeding_rate","seed_spacing","speed"
"1",-91.8499910292947,40.3760971808344,88.4511561345242,"DKC63-33RIB",37.0791,5.639,3.74
"2",-91.8499915292947,40.3761063988344,102.17351733805,"DKC63-33RIB",37.0791,5.639,3.74
"3",-91.8499918212947,40.3761163098344,191.420756250119,"DKC63-33RIB",37.0791,5.639,3.74
"4",-91.8499924452947,40.3761268118344,236.556216965976,"DKC63-33RIB",37.0791,5.639,3.74
"5",-91.8499930392947,40.3761388578344,224.822367119597,"DKC63-33RIB",37.0791,5.639,3.74
"6",-91.8499930282947,40.3761514728344,232.429547279096,"DKC63-33RIB",37.0791,5.639,3.74
"7",-91.8499925322947,40.3761642478344,243.653697562479,"DKC63-33RIB",33.7531,6.1946,4.72
"8",-91.8499914862947,40.3761774348344,247.520759261253,"DKC63-33RIB",33.7531,6.1946,4.72
"9",-91.8499911382947,40.3761906698344,263.673767814023,"DKC63-33RIB",33.7531,6.1946,4.72
"10",-91.8499909822947,40.3762037548344,265.223575851637,"DKC63-33RIB",33.7531,6.1946,4.72
"11",-91.8499903052947,40.3762172928344,254.457054229449,"DKC63-33RIB",33.7531,6.1946,4.72
"12",-91.8499898372947,40.3762309118344,241.091902068343,"DKC63-33RIB",33.7531,6.1946,4.72
"13",-91.8499905392947,40.3762445618344,227.143949979938,"DKC63-33RIB",35.3611,5.913,4.72
"14",-91.8499912542947,40.3762581588344,215.518433672002,"DKC63-33RIB",35.3611,5.913,4.72
"15",-91.8499905752947,40.3762715688344,218.585402127017,"DKC63-33RIB",35.3611,5.913,4.72
"16",-91.8499900292947,40.3762850838344,219.559456563988,"DKC63-33RIB",35.3611,5.913,4.72
"17",-91.8499899592947,40.3762985958344,237.30068418964,"DKC63-33RIB",35.3611,5.913,4.72
"18",-91.8499897692947,40.3763119188344,254.52624225752,"DKC63-33RIB",35.3611,5.913,4.72
"19",-91.8499894172947,40.3763252558344,254.327096045751,"DKC63-33RIB",35.3611,5.913,4.72
"20",-91.8499889632947,40.3763388138344,256.903005943636,"DKC63-33RIB",35.3721,5.9111,4.28
"21",-91.8499886532947,40.3763522838344,262.546313502732,"DKC63-33RIB",35.3721,5.9111,4.28
"22",-91.8499882162947,40.3763656468344,239.893837218605,"DKC63-33RIB",35.3721,5.9111,4.28
"23",-91.8499880642947,40.3763791148344,232.016630521113,"DKC63-33RIB",35.3721,5.9111,4.28
"24",-91.8499879612947,40.3763926418344,220.531570355046,"DKC63-33RIB",35.3721,5.9111,4.28
