"long","lat","variety","seeding_rate","seed_spacing","speed"
-91.8505319996779,40.3760430515063,"P1498",47.6142,4.3913,1.9
-91.8505191996778,40.3760431515063,"P1498",47.6412,4.3888,2.11
-91.8505039996779,40.3760427515063,"P1498",47.6412,4.3888,2.52
-91.8504867996779,40.3760425515063,"P1498",47.6412,4.3888,2.94
-91.8504672996778,40.3760428515063,"P1498",34.6421,6.0357,3.37
-91.8504450996779,40.3760434515063,"P1498",31.2031,6.7009,3.88
-91.8504217996778,40.3760434515063,"P1498",29.7171,7.036,4.22
-91.8503988996779,40.3760436515063,"P1498",29.6801,7.0447,4.26
-91.8503757996778,40.3760436515063,"P1498",30.4431,6.8682,4.35
-91.8503526996779,40.3760437515063,"P1498",30.9321,6.7596,4.34
-91.8503295996778,40.3760436515063,"P1498",31.4721,6.6436,4.34
-91.8503064996778,40.3760434515063,"P1498",31.7241,6.5908,4.34
-91.8502847996779,40.3760435515063,"P1498",31.9651,6.5412,4.31
-91.8502698996779,40.3760430515063,"P1498",32.5181,6.4299,2.67
-91.8502542996778,40.3760428515063,"P1498",32.5181,6.4299,2.84
-91.8502368996779,40.3760430515063,"P1498",32.5181,6.4299,2.97
-91.8502189996778,40.3760429515063,"P1498",32.2361,6.4862,3.16
-91.8502011996779,40.3760429515063,"P1498",32.0601,6.5218,3.29
-91.8501831996778,40.3760432515063,"P1498",32.0771,6.5183,3.37
-91.8501654996778,40.3760429515063,"P1498",32.1421,6.5051,3.35
-91.8501475996779,40.3760430515063,"P1498",32.2591,6.4815,3.37
-91.8501297996778,40.3760431515063,"P1498",32.3671,6.4599,3.35
-91.8501118996779,40.3760430515063,"P1498",32.4481,6.4438,3.36
-91.8500941996779,40.3760432515063,"P1498",34.6851,6.0282,3.35
-91.8500764996779,40.3760433515063,"P1498",36.5501,5.7206,3.35
-91.8500585996779,40.3760433515063,"P1498",37.3561,5.5972,3.34
-91.8500407996778,40.3760433515063,"P1498",37.2281,5.6164,3.35
-91.8500229996778,40.3760435515063,"P1498",37.0171,5.6484,3.34
-91.8500052996778,40.3760434515063,"P1498",37.0371,5.6454,3.34
-91.8499874996779,40.3760437515063,"P1498",37.2711,5.6099,3.34
-91.8499697996779,40.3760439515063,"P1498",37.3591,5.5967,3.34
-91.8499520996779,40.3760439515063,"P1498",37.2681,5.6104,3.34
-91.8499342996779,40.3760441515063,"P1498",37.2701,5.6101,3.34
-91.8499165996779,40.3760437515063,"P1498",37.3301,5.6011,3.34
-91.8498988996779,40.3760442515063,"P1498",37.3941,5.5915,3.34
-91.8498811996779,40.3760439515063,"P1498",37.3431,5.5991,3.34
-91.8498632996778,40.3760440515063,"P1498",37.3051,5.6048,3.35
-91.8498455996778,40.3760441515063,"P1498",37.3531,5.5976,3.34
-91.8498279996778,40.3760441515063,"P1498",37.3961,5.5912,3.34
-91.8498100996779,40.3760437515063,"P1498",37.3631,5.5961,3.33
-91.8497923996779,40.3760438515063,"P1498",37.3731,5.5946,3.34
-91.8497745996778,40.3760431515063,"P1498",37.3681,5.5954,3.35
-91.8497567996778,40.3760431515063,"P1498",37.3451,5.5988,3.35
-91.8497389996779,40.3760435515063,"P1498",37.3311,5.6009,3.35
-91.8497210996779,40.3760426515063,"P1498",37.2871,5.6075,3.35
-91.8497033996778,40.3760422515063,"P1498",37.2931,5.6066,3.34
-91.8496855996779,40.3760421515063,"P1498",37.2931,5.6066,3.35
-91.8496676996779,40.3760421515063,"P1498",37.2961,5.6062,3.35
-91.8496499996779,40.3760418515063,"P1498",37.3021,5.6053,3.35
-91.8496319996779,40.3760418515063,"P1498",37.2901,5.6071,3.36
-91.8496140996779,40.3760416515063,"P1498",37.3011,5.6054,3.36
-91.8495963996778,40.3760414515063,"P1498",37.2771,5.609,3.36
-91.8495784996778,40.3760414515063,"P1498",37.2691,5.6102,3.35
-91.8495605996778,40.3760414515063,"P1498",37.2841,5.608,3.36
-91.8495427996778,40.3760413515063,"P1498",37.3081,5.6044,3.36
-91.8495249996779,40.3760412515063,"P1498",37.3071,5.6045,3.36
-91.8495069996778,40.3760408515063,"P1498",37.3121,5.6038,3.36
-91.8494891996778,40.3760411515063,"P1498",37.2931,5.6066,3.36
-91.8494712996778,40.3760413515063,"P1498",37.2801,5.6086,3.36
-91.8494534996778,40.3760407515063,"P1498",37.2431,5.6142,3.36
-91.8494354996779,40.3760405515063,"P1498",37.2601,5.6116,3.37
-91.8494163996778,40.3760406515063,"P1498",37.2401,5.6146,3.42
-91.8493974996778,40.3760405515063,"P1498",37.1121,5.634,3.49
-91.8493785996778,40.3760408515063,"P1498",37.0541,5.6428,3.56
-91.8493586996779,40.3760409515063,"P1498",36.4821,5.7313,3.61
-91.8493386996778,40.3760410515063,"P1498",36.8241,5.678,3.68
-91.8493186996779,40.3760411515063,"P1498",36.5281,5.724,3.74
-91.8492985996779,40.3760410515063,"P1498",36.4621,5.7344,3.77
-91.8492786996779,40.3760408515063,"P1498",37.0661,5.641,3.76
-91.8492586996778,40.3760403515063,"P1498",37.4461,5.5837,3.77
-91.8492386996779,40.3760405515063,"P1498",37.7092,5.5448,3.76
-91.8492185996779,40.3760403515063,"P1498",37.7402,5.5402,3.77
-91.8491986996778,40.3760400515063,"P1498",37.8932,5.5179,3.76
-91.8491785996779,40.3760400515063,"P1498",37.9332,5.512,3.76
-91.8491584996779,40.3760399515063,"P1498",37.9692,5.5068,3.76
-91.8491385996778,40.3760397515063,"P1498",37.9252,5.5132,3.77
-91.8491185996779,40.3760391515063,"P1498",37.9582,5.5084,3.77
-91.8490985996778,40.3760390515063,"P1498",38.0122,5.5006,3.76
-91.8490785996779,40.3760391515063,"P1498",38.0682,5.4925,3.77
-91.8490584996779,40.3760391515063,"P1498",38.0872,5.4897,3.76
-91.8490384996778,40.3760391515063,"P1498",38.1042,5.4873,3.77
-91.8490184996779,40.3760389515063,"P1498",38.0952,5.4886,3.76
-91.8489982996778,40.3760386515063,"P1498",38.0662,5.4928,3.78
-91.8489783996778,40.3760384515063,"P1498",38.0342,5.4974,3.77
-91.8489584996778,40.3760383515063,"P1498",38.0842,5.4902,3.76
-91.8489383996778,40.3760381515063,"P1498",38.0982,5.4882,3.76
-91.8489183996778,40.3760380515063,"P1498",38.1242,5.4844,3.76
-91.8488984996778,40.3760378515063,"P1498",38.1502,5.4807,3.76
-91.8488783996778,40.3760379515063,"P1498",38.1482,5.481,3.76
-91.8488582996778,40.3760375515063,"P1498",38.1202,5.485,3.77
-91.8488381996778,40.3760374515063,"P1498",38.1332,5.4831,3.77
-91.8488183996779,40.3760375515063,"P1498",37.9132,5.5149,3.77
-91.8487981996778,40.3760376515063,"P1498",37.7602,5.5373,3.77
-91.8487782996778,40.3760372515063,"P1498",37.7542,5.5382,3.76
-91.8487582996779,40.3760368515063,"P1498",37.3341,5.6005,3.77
-91.8487381996779,40.3760367515063,"P1498",37.3321,5.6008,3.77
-91.8487180996779,40.3760364515063,"P1498",37.2361,5.6152,3.77
-91.8486980996778,40.3760366515063,"P1498",37.2311,5.616,3.77
-91.8486781996778,40.3760363515063,"P1498",37.3061,5.6047,3.76
-91.8486581996778,40.3760359515063,"P1498",37.4501,5.5831,3.76
-91.8486382996778,40.3760359515063,"P1498",37.3361,5.6002,3.75
-91.8486183996778,40.3760358515063,"P1498",37.3841,5.593,3.76
-91.8485981996779,40.3760358515063,"P1498",37.3581,5.5969,3.77
-91.8485783996778,40.3760359515063,"P1498",37.3001,5.6056,3.76
-91.8485582996778,40.3760357515063,"P1498",37.3481,5.5984,3.76
-91.8485384996778,40.3760356515063,"P1498",37.3951,5.5913,3.74
-91.8485184996779,40.3760356515063,"P1498",37.3721,5.5948,3.76
-91.8484984996778,40.3760358515063,"P1498",37.3501,5.5981,3.76
-91.8484785996778,40.3760357515063,"P1498",37.3401,5.5996,3.75
-91.8484585996779,40.3760359515063,"P1498",37.3651,5.5958,3.76
-91.8484385996778,40.3760359515063,"P1498",37.3601,5.5966,3.75
-91.8484184996778,40.3760363515063,"P1498",37.3631,5.5961,3.76
-91.8483986996778,40.3760364515063,"P1498",37.3571,5.597,3.75
-91.8483786996779,40.3760366515063,"P1498",37.3701,5.5951,3.76
-91.8483586996778,40.3760366515063,"P1498",37.3951,5.5913,3.76
-91.8483387996778,40.3760369515063,"P1498",37.3721,5.5948,3.75
-91.8483188996778,40.3760371515063,"P1498",37.3691,5.5952,3.75
-91.8482987996778,40.3760372515063,"P1498",37.3931,5.5916,3.75
-91.8482789996778,40.3760369515063,"P1498",37.3971,5.591,3.75
-91.8482588996778,40.3760362515063,"P1498",37.4131,5.5886,3.76
-91.8482390996779,40.3760363515063,"P1498",37.4131,5.5886,3.75
-91.8482190996778,40.3760360515063,"P1498",37.4281,5.5864,3.75
-91.8481992996778,40.3760359515063,"P1498",37.4471,5.5836,3.74
-91.8481793996778,40.3760355515063,"P1498",37.4631,5.5812,3.75
-91.8481593996779,40.3760351515063,"P1498",37.4321,5.5858,3.75
-91.8481393996778,40.3760345515063,"P1498",37.3881,5.5924,3.76
-91.8481194996778,40.3760342515063,"P1498",37.4051,5.5898,3.75
-91.8480994996778,40.3760341515063,"P1498",37.3621,5.5963,3.76
-91.8480794996779,40.3760335515063,"P1498",38.0182,5.4997,3.75
-91.8480596996778,40.3760332515063,"P1498",38.1242,5.4844,3.75
-91.8480396996779,40.3760329515063,"P1498",38.1672,5.4782,3.75
-91.8480196996778,40.3760329515063,"P1498",38.3932,5.446,3.76
-91.8479996996778,40.3760329515063,"P1498",38.2022,5.4732,3.76
-91.8479795996778,40.3760330515063,"P1498",38.2302,5.4692,3.77
-91.8479596996778,40.3760326515063,"P1498",38.2522,5.4661,3.75
-91.8479396996779,40.3760324515063,"P1498",38.2742,5.4629,3.76
-91.8479196996778,40.3760325515063,"P1498",38.3372,5.4539,3.76
-91.8478997996778,40.3760323515063,"P1498",38.3162,5.4569,3.76
-91.8478798996778,40.3760322515063,"P1498",38.3562,5.4512,3.76
-91.8478597996778,40.3760316515063,"P1498",38.2502,5.4664,3.76
-91.8478396996778,40.3760315515063,"P1498",38.2372,5.4682,3.77
-91.8478197996779,40.3760314515063,"P1498",38.2222,5.4704,3.76
-91.8477997996778,40.3760311515063,"P1498",38.2662,5.4641,3.76
-91.8477796996778,40.3760309515063,"P1498",38.2732,5.4631,3.76
-91.8477597996778,40.3760304515063,"P1498",38.2682,5.4638,3.76
-91.8477397996779,40.3760298515063,"P1498",38.2282,5.4695,3.76
-91.8477196996779,40.3760294515063,"P1498",38.2472,5.4668,3.77
-91.8476997996779,40.3760290515063,"P1498",38.2182,5.4709,3.77
-91.8476797996778,40.3760285515063,"P1498",38.2562,5.4655,3.76
-91.8476598996779,40.3760283515063,"P1498",38.2732,5.4631,3.75
-91.8476397996779,40.3760281515063,"P1498",38.2312,5.4691,3.76
-91.8476198996779,40.3760277515063,"P1498",38.2702,5.4635,3.77
-91.8475999996779,40.3760274515063,"P1498",38.2632,5.4645,3.75
-91.8475797996778,40.3760274515063,"P1498",38.2882,5.4609,3.76
-91.8475598996778,40.3760275515063,"P1498",38.2752,5.4628,3.76
-91.8475399996778,40.3760274515063,"P1498",38.2842,5.4615,3.76
-91.8475199996778,40.3760271515063,"P1498",38.2412,5.4676,3.75
-91.8474998996778,40.3760275515063,"P1498",38.3082,5.4581,3.76
-91.8474798996779,40.3760277515063,"P1498",38.2932,5.4602,3.77
-91.8474599996779,40.3760280515063,"P1498",38.2892,5.4608,3.76
-91.8474398996779,40.3760282515063,"P1498",38.2682,5.4638,3.76
-91.8474200996778,40.3760293515063,"P1498",38.2602,5.4649,3.76
-91.8474001996778,40.3760303515063,"P1498",38.2942,5.4601,3.76
-91.8473802996779,40.3760314515063,"P1498",38.2552,5.4656,3.75
-91.8473602996778,40.3760329515063,"P1498",38.3322,5.4547,3.76
-91.8473405996778,40.3760347515063,"P1498",38.3372,5.4539,3.75
-91.8473207996778,40.3760356515063,"P1498",38.3362,5.4541,3.75
-91.8473007996779,40.3760369515063,"P1498",38.3232,5.4559,3.75
-91.8472809996778,40.3760382515063,"P1498",38.3252,5.4557,3.75
-91.8472610996779,40.3760393515063,"P1498",38.3232,5.4559,3.75
-91.8472410996778,40.3760406515063,"P1498",38.3452,5.4528,3.75
-91.8472211996778,40.3760418515063,"P1498",38.3522,5.4518,3.76
-91.8472013996778,40.3760430515063,"P1498",38.3892,5.4466,3.76
-91.8471814996778,40.3760441515063,"P1498",38.3922,5.4461,3.76
-91.8471615996778,40.3760451515063,"P1498",38.4002,5.445,3.76
-91.8471415996779,40.3760460515063,"P1498",38.4322,5.4405,3.76
-91.8471217996779,40.3760468515063,"P1498",38.3722,5.449,3.75
-91.8471016996779,40.3760479515063,"P1498",38.3912,5.4463,3.76
-91.8470817996779,40.3760487515063,"P1498",38.3522,5.4518,3.76
-91.8470619996778,40.3760495515063,"P1498",38.1542,5.4801,3.75
-91.8470421996778,40.3760505515063,"P1498",38.5022,5.4306,3.75
-91.8470221996779,40.3760514515063,"P1498",38.6812,5.4054,3.75
